"Name","Total Time","Total Time (CPU)","Hits"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"ClientMessageReceptor0","131,697 ms (-0%)","131,697 ms (-0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"  org.jacorb.util.threadpool.ConsumerTie.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"   org.jacorb.orb.giop.MessageReceptor.doWork ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"    org.jacorb.orb.giop.GIOPConnection.receiveMessages ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"     org.jacorb.orb.giop.GIOPConnection.receiveMessagesLoop ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"      org.jacorb.orb.giop.GIOPConnection.getMessage ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"       org.jacorb.orb.etf.StreamConnectionBase.read ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"        java.net.SocketInputStream.read ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"ClientMessageReceptor1","131,697 ms (-0%)","131,697 ms (-0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"  org.jacorb.util.threadpool.ConsumerTie.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"   org.jacorb.orb.giop.MessageReceptor.doWork ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"    org.jacorb.orb.giop.GIOPConnection.receiveMessages ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"     org.jacorb.orb.giop.GIOPConnection.receiveMessagesLoop ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"      org.jacorb.orb.giop.GIOPConnection.getMessage ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"       org.jacorb.orb.etf.StreamConnectionBase.read ()","131,697 ms (-0%)","131,697 ms (-0%)","3"
"        java.net.SocketInputStream.read ()","131,697 ms (-0%)","131,697 ms (-0%)","3"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Cleaner-0","131,697 ms (-0%)","0.0 ms (0%)","1"
" jdk.internal.misc.InnocuousThread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   jdk.internal.ref.CleanerImpl.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.lang.ref.ReferenceQueue.remove ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"CacheQueueHandler","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  chs.utility.dataservices.cache.FileBasedCache$RequestHandler.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   chs.utility.dataservices.cache.FileBasedCache$RequestHandler.getNextRequest ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.lang.Object.wait ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Ping Thread","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  chs.utility.dataservices.UserSessionWrapper$1.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   chs.utility.dataservices.SynchronizedObjectWaiter.waitOn ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.lang.Object.wait[native] ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Progress Indicator","131,697 ms (-0%)","131,697 ms (-0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"  chs.caf.helpers.ui.common.progressindicator.impl.SWTDynamicProgressIndicator$$Lambda$678.0x0000000800dcf040.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"   chs.caf.helpers.ui.common.progressindicator.impl.SWTDynamicProgressIndicator.lambda$initializeDisplay$0 ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"    org.eclipse.swt.widgets.Display.sleep ()","130,903 ms (-0%)","130,903 ms (-0%)","9"
"     org.eclipse.swt.internal.win32.OS.WaitMessage[native] ()","130,903 ms (-0%)","130,903 ms (-0%)","9"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","9"
"    org.eclipse.swt.widgets.Display.readAndDispatch ()","794 ms (-0%)","794 ms (-0%)","8"
"     org.eclipse.swt.internal.win32.OS.DispatchMessage ()","496 ms (-0%)","496 ms (-0%)","5"
"      org.eclipse.swt.internal.win32.OS.DispatchMessageW[native] ()","496 ms (-0%)","496 ms (-0%)","5"
"       org.eclipse.swt.widgets.Display.messageProc ()","396 ms (-0%)","396 ms (-0%)","4"
"        org.eclipse.swt.widgets.Display.runTimer ()","396 ms (-0%)","396 ms (-0%)","4"
"         org.eclipse.swt.internal.win32.OS.KillTimer[native] ()","198 ms (-0%)","198 ms (-0%)","2"
"         org.eclipse.swt.ole.win32.OleFrame$2.run ()","197 ms (-0%)","197 ms (-0%)","2"
"          org.eclipse.swt.widgets.Display.getFocusControl ()","99.4 ms (-0%)","99.4 ms (-0%)","1"
"           org.eclipse.swt.widgets.Display._getFocusControl ()","99.4 ms (-0%)","99.4 ms (-0%)","1"
"            org.eclipse.swt.widgets.Display.findControl ()","99.4 ms (-0%)","99.4 ms (-0%)","1"
"             org.eclipse.swt.internal.win32.OS.GetWindow[native] ()","99.4 ms (-0%)","99.4 ms (-0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          org.eclipse.swt.widgets.Display.timerExec ()","98.4 ms (-0%)","98.4 ms (-0%)","1"
"           org.eclipse.swt.internal.win32.OS.SetTimer[native] ()","98.4 ms (-0%)","98.4 ms (-0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"       Self time","100 ms (-0%)","100 ms (-0%)","5"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","5"
"     org.eclipse.swt.internal.win32.OS.PeekMessage ()","297 ms (-0%)","297 ms (-0%)","3"
"      org.eclipse.swt.internal.win32.OS.PeekMessageW[native] ()","297 ms (-0%)","297 ms (-0%)","3"
"       org.eclipse.swt.ole.win32.OleFrame.getMsgProc ()","199 ms (-0%)","199 ms (-0%)","2"
"        org.eclipse.swt.internal.win32.OS.CallNextHookEx[native] ()","199 ms (-0%)","199 ms (-0%)","2"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"       Self time","98.5 ms (-0%)","98.5 ms (-0%)","3"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","3"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","8"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"TimerQueue","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  javax.swing.TimerQueue.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.DelayQueue.take ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.locks.LockSupport.parkNanos ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"      jdk.internal.misc.Unsafe.park[native] ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Thread-16","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  chs.caf.drc.CAFDRCBackgroundRunner$BackgroundDRCTaskRunner.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.locks.LockSupport.park ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"     jdk.internal.misc.Unsafe.park[native] ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"ActiveMQ Transport Server Thread Handler: nio://127.0.0.1:0","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.activemq.transport.tcp.TcpTransportServer$1.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.LinkedBlockingQueue.poll ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.locks.LockSupport.parkNanos ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"      jdk.internal.misc.Unsafe.park[native] ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"ActiveMQ Transport Server: nio://127.0.0.1:0","131,697 ms (-0%)","131,697 ms (-0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"  org.apache.activemq.transport.tcp.TcpTransportServer.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"   org.apache.activemq.transport.tcp.TcpTransportServer.doRunWithServerSocketChannel ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"    sun.nio.ch.SelectorImpl.select ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"MulticastDiscoveryAgent-advertise:nio://127.0.0.1:64265:Thread-19","131,697 ms (-0%)","131,697 ms (-0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"  org.apache.activemq.transport.discovery.multicast.MulticastDiscoveryAgent.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"   java.net.DatagramSocket.receive ()","131,508 ms (-0%)","131,508 ms (-0%)","3"
"   org.apache.activemq.transport.discovery.multicast.MulticastDiscoveryAgent.doTimeKeepingServices ()","97.8 ms (-0%)","97.8 ms (-0%)","1"
"    org.apache.activemq.transport.discovery.multicast.MulticastDiscoveryAgent.doAdvertizeSelf ()","97.8 ms (-0%)","97.8 ms (-0%)","1"
"     java.net.DatagramSocket.send ()","97.8 ms (-0%)","97.8 ms (-0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","91.5 ms (-0%)","91.5 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Selector Worker: 0","131,697 ms (-0%)","131,697 ms (-0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"  java.util.concurrent.ThreadPoolExecutor$Worker.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"   java.util.concurrent.ThreadPoolExecutor.runWorker ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"    org.apache.activemq.transport.nio.SelectorWorker.run ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"     sun.nio.ch.SelectorImpl.select ()","131,697 ms (-0%)","131,697 ms (-0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"ActiveMQ NIO Worker 1","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  java.util.concurrent.ThreadPoolExecutor$Worker.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor.runWorker ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.getTask ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.SynchronousQueue.take ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"      java.util.concurrent.SynchronousQueue$TransferStack.transfer ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"       java.util.concurrent.SynchronousQueue$TransferStack.awaitFulfill ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.locks.LockSupport.park ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"         jdk.internal.misc.Unsafe.park[native] ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"ActiveMQ NIO Worker 2","131,697 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"  java.util.concurrent.ThreadPoolExecutor$Worker.run ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor.runWorker ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.getTask ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.SynchronousQueue.take ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"      java.util.concurrent.SynchronousQueue$TransferStack.transfer ()","131,697 ms (-0%)","0.0 ms (0%)","1"
"       java.util.concurrent.SynchronousQueue$TransferStack.awaitFulfill ()","131,697 ms (-0%)","0.0 ms (0%)","1"
